/fraternal/lamp.php	/fraternal/lamp.php	http://aladdinshrine.org/fraternal/calendar.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6.6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; WinNT-PAI 18.08.2009; .NET CLR 3.0.30729; .NET4.0C)	173-23-197-26.client.mchsi.com	1310754623	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310755349	-	-	GET	-	N/D
/fraternal/groups.php	/fraternal/groups.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310755710	-	-	GET	-	N/D
/fraternal/membership.php	/fraternal/membership.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310756070	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MDDR; InfoPath.2)	static-acs-24-154-148-15.zoominternet.net	1310756288	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MDDR; InfoPath.2)	static-acs-24-154-148-15.zoominternet.net	1310756295	-	-	GET	-	en-us
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/fraternal/calendar.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MDDR; InfoPath.2)	static-acs-24-154-148-15.zoominternet.net	1310756357	-	-	GET	-	en-us
/fraternal/brutal.php	/fraternal/brutal.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310756431	-	-	GET	-	N/D
/fraternal/lamp.php	/fraternal/lamp.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MDDR; InfoPath.2)	static-acs-24-154-148-15.zoominternet.net	1310756512	-	-	GET	-	en-us
/fraternal/glsa.php	/fraternal/glsa.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310757033	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310757164	-	-	GET	-	N/D
/fraternal/directions.php	/fraternal/directions.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310757569	-	-	GET	-	N/D
/fraternal/reception.php	/fraternal/reception.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310757755	-	-	GET	-	N/D
/fraternal/provost.php	/fraternal/provost.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310758115	-	-	GET	-	N/D
/fraternal/licking.php	/fraternal/licking.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310758237	-	-	GET	-	N/D
/fraternal/clown.php	/fraternal/clown.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310758357	-	-	GET	-	N/D
/fraternal/motorcycle.php	/fraternal/motorcycle.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310758957	-	-	GET	-	N/D
/fraternal/coshocton.php	/fraternal/coshocton.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759448	-	-	GET	-	N/D
/fraternal/senior.php	/fraternal/senior.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759476	-	-	GET	-	N/D
/fraternal/band.php	/fraternal/band.php	#	Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)	h-97-133.scoutjet.com	1310759519	-	-	GET	-	N/D
