/aladdinballroom.php	/aladdinballroom.php	http://www.aladdinshrine.org/aladdinballroom.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371749	-	-	GET	-	en-US
/home.php	/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371920	-	-	GET	-	en-US
/aladdinmpr.php	/aladdinmpr.php	http://www.aladdinshrine.org/aladdinmpr.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371924	-	-	GET	-	en-US
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371935	-	-	GET	-	en-US
/aladdinoasis.php	/aladdinoasis.php	http://www.aladdinshrine.org/aladdinoasis.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371969	-	-	GET	-	en-US
/aladdinboardroom.php	/aladdinboardroom.php	http://www.aladdinshrine.org/aladdinboardroom.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371980	-	-	GET	-	en-US
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340371985	-	-	GET	-	en-US
/aladdinmpr.php	/aladdinmpr.php	http://www.aladdinshrine.org/aladdinmpr.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340372718	-	-	GET	-	en-US
/AladdinDirections.php	/AladdinDirections.php	http://www.google.com/search?sourceid=navclient&amp;aq=0&amp;oq=aladdin+shrine+colu&amp;ie=UTF-8&amp;rlz=1T4GGLF_enUS240US240&amp;q=aladdin+shrine+columbus+ohio&amp;gs_upl=0l0l0l6266lllllllllll0&amp;aqi=g1g-K2g-mK2	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB7.3; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)	165.171.240.50	1340374347	-	-	GET	-	en-us
/home.php	/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1	mail.aladdinshrine.org	1340376210	-	-	GET	-	en-us,en;q=0.5
/AladdinCalendar.php	/AladdinCalendar.php	http://www.aladdinshrine.org/home.php	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1	mail.aladdinshrine.org	1340376216	-	-	GET	-	en-us,en;q=0.5
/aladdinboardroom.php	/aladdinboardroom.php	http://www.google.co.uk/imgres?hl=en&amp;sa=X&amp;biw=1432&amp;bih=689&amp;tbs=isz:l&amp;tbm=isch&amp;prmd=imvns&amp;tbnid=258SJSK_sQRbAM:&amp;imgrefurl=http://www.aladdinshrine.org/aladdinboardroom.php&amp;docid=JHmKcFx9m01oOM&amp;imgurl=http://www.aladdinshrine.org/images/boardroom.jpg&amp;w=2592&amp;h=1944&amp;ei=toTkT8v-IdSt8QO919GWDA&amp;zoom=1&amp;iact=hc&amp;vpx=181&amp;vpy=375&amp;dur=0&amp;hovh=194&amp;hovw=259&amp;tx=113&amp;ty=109&amp;sig=108560759658887079597&amp;page=3&amp;tbnh=148&amp;tbnw=185&amp;start=44&amp;ndsp=24&amp;ved=1t:429,r:12,s:44,i:320	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)	172.25.13.53	1340376271	-	-	GET	-	en-GB
/aladdinmpr.php	/aladdinmpr.php	http://www.aladdinshrine.org/aladdinmpr.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340382384	-	-	GET	-	en-US
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340382389	-	-	GET	-	en-US
/aladdinoasis.php	/aladdinoasis.php	http://www.aladdinshrine.org/aladdinoasis.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340382392	-	-	GET	-	en-US
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	d60-65-12-180.col.wideopenwest.com	1340382404	-	-	GET	-	en-US
