/aladdinaladdin.php	/aladdinaladdin.php	http://aladdinshrine.com/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211518	-	-	GET	-	en-US
/AladdinPolicies.php	/AladdinPolicies.php	http://aladdinshrine.com/AladdinPolicies.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211520	-	-	GET	-	en-US
/aladdinaladdin.php	/aladdinaladdin.php	http://aladdinshrine.com/aladdinaladdin.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211528	-	-	GET	-	en-US
/AladdinContact.php	/AladdinContact.php	http://aladdinshrine.com/AladdinContact.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211536	-	-	GET	-	en-US
/AladdinHotels.php	/AladdinHotels.php	http://aladdinshrine.com/AladdinHotels.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211542	-	-	GET	-	en-US
/AladdinBar.php	/AladdinBar.php	http://aladdinshrine.com/AladdinBar.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211556	-	-	GET	-	en-US
/aladdinballroom.php	/aladdinballroom.php	http://aladdinshrine.com/aladdinballroom.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211562	-	-	GET	-	en-US
/aladdinmpr.php	/aladdinmpr.php	http://aladdinshrine.com/aladdinmpr.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211597	-	-	GET	-	en-US
/aladdinoasis.php	/aladdinoasis.php	http://aladdinshrine.com/aladdinoasis.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211602	-	-	GET	-	en-US
/aladdinboardroom.php	/aladdinboardroom.php	http://aladdinshrine.com/aladdinboardroom.swf	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)	cpe-174-100-196-107.neo.res.rr.com	1328211613	-	-	GET	-	en-US
